Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C1,C2,C3,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C519980,4
1,R9,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,C4033338,1
"1,8k",R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C375519,1
10,"R11,R2,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C217774,3
100pF,"C6,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C182933,2
100uF,C4,C_Elec_8x6.2,C88744,1
120k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C304119,1
2.2k,"R10,R12",R_0805_2012Metric,C19269962,2
240,"R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C869301,2
4.7uF,"C5,C9",C_0805_2012Metric,C107365,2
8.2,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C136890,1
INA333,U2,VSSOP-8_3x3mm_P0.65mm,C19450,1
LED,D3,LED_0805_2012Metric,C375451,1
LM285D-2.5R2G,U3,SOIC-8_3.9x4.9mm_P1.27mm,C7931,1
MMBT2222A,"Q1,Q2",SOT-23,C82460,2
OPA2192IDR,U1,SOIC-8_3.9x4.9mm_P1.27mm,C110074,1
PRTR5V0U2X,D2,SOT-143,C2827688,1
R_POT_TRIM,"RV1,RV2",Potentiometer_Bourns_3296W_Vertical,C58161,2
R_adj,J4,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,C5447965,1
SMF13A,D1,D_SOD-123F,C2857274,1
Sensor,J3,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,C5447965,1
Supply,J1,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,C5447965,1
TI OPA192IDBVR,U5,SOT-23-5,C139648,1
TPS709B50DBVR,U4,SOT-23-5,C2867109,1
V_OUT,J5,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,C5447965,1
SENSOR,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
V_OUT,J2,LINX_CONSMA020.062-G,,1
