Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.276,-132.355,180.0,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.865716,-128.361232,-90.0,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.873506,-136.046416,-90.0,top
C4,100uF,C_Elec_8x6.2,55.441268,-128.955,-90.0,top
C5,4.7uF,C_0805_2012Metric,62.160418,-126.752506,-90.0,top
C6,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.781462,-127.021913,180.0,top
C7,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.069266,-131.451915,90.0,top
C8,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.035383,-127.651402,0.0,top
C9,4.7uF,C_0805_2012Metric,69.964158,-126.840878,-90.0,top
D1,SMF13A,D_SOD-123F,47.86006,-127.463372,-90.0,top
D2,PRTR5V0U2X,SOT-143,103.078327,-131.326965,-90.0,top
D3,LED,LED_0805_2012Metric,44.213003,-136.933616,-90.0,top
J1,Supply,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,41.438664,-127.33734,90.0,top
J2,V_OUT,LINX_CONSMA020.062-G,134.825296,-130.413453,90.0,top
J3,Sensor,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,102.299677,-123.471605,90.0,top
J4,R_adj,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,114.446,-121.255,180.0,top
J5,V_OUT,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,126.578898,-121.226007,180.0,top
Q1,MMBT2222A,SOT-23,82.761049,-128.190984,0.0,top
Q2,MMBT2222A,SOT-23,87.476,-141.605,0.0,top
R1,120k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.976,-131.38,-90.0,top
R10,2.2k,R_0805_2012Metric,68.4885,-133.555,0.0,top
R11,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.369266,-131.451915,90.0,top
R12,2.2k,R_0805_2012Metric,64.2635,-129.955,0.0,top
R2,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.076,-141.355,90.0,top
R3,SENSOR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.876,-123.555,-90.0,top
R4,240,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,86.441741,-128.292536,90.0,top
R5,8.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.087687,-137.681438,90.0,top
R6,240,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,105.54449,-137.632802,-90.0,top
R7,"1,8k",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.396365,-127.442967,180.0,top
R8,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.876,-132.055,0.0,top
R9,1,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,75.826,-127.055,180.0,top
RV1,R_POT_TRIM,Potentiometer_Bourns_3296W_Vertical,97.087687,-139.296438,90.0,top
RV2,R_POT_TRIM,Potentiometer_Bourns_3296W_Vertical,110.225986,-139.299861,90.0,top
U1,OPA2192IDR,SOIC-8_3.9x4.9mm_P1.27mm,83.345087,-136.553767,270.0,top
U2,INA333,VSSOP-8_3x3mm_P0.65mm,114.297429,-130.679425,270.0,top
U3,LM285D-2.5R2G,SOIC-8_3.9x4.9mm_P1.27mm,73.841421,-133.890326,180.0,top
U4,TPS709B50DBVR,SOT-23-5,66.237775,-126.708143,180.0,top
U5,TI OPA192IDBVR,SOT-23-5,123.978327,-130.626965,180.0,top
